,mã sv,0.1,0.1.1,0.2,điểm thi
0,a1,9,7,6.0,6.0
1,a2,9,7,6.0,5.5
2,a3,10,8,7.0,6.75
3,a4,10,8,6.0,7.0
4,a5,9,7,6.0,6.0
5,a6,10,8,7.0,6.5
6,a7,9,7,6.0,6.0
7,a8,9,7,6.0,5.0
8,a9,10,7,6.0,7.0
9,a10,9,7,6.0,5.5
10,a11,9,7,6.0,6.0
11,a12,9,7,6.0,4.5
12,a13,9,7,6.5,6.5
13,a14,7,7,6.0,6.75
14,a15,9,7,6.0,5.0
15,a16,10,8,7.0,6.75
16,a17,10,8,7.0,5.5
17,a18,10,8,7.0,7.5
18,a19,9,7,6.0,6.5
19,a20,7,6,5.0,4.5
20,a21,9,7,6.0,7.75
22,a23,9,7,6.0,6.75
23,a24,9,7,6.0,5.5
24,a25,9,7,6.0,7.5
26,a27,10,8,7.0,7.5
27,a28,10,8,7.0,6.0
28,a29,9,7,6.0,7.0
29,a30,10,8,7.0,6.5
30,a31,9,7,6.0,6.0
